node,routing_table_size,record_count,total_rpcs_sent,total_rpcs_received
140.112.30.182,20,0,4443,9104
140.112.30.183,20,0,4341,10604
140.112.30.184,20,0,4615,10260
140.112.30.185,20,0,4683,5313
140.112.30.186,20,0,4981,4093
140.112.30.187,20,0,5081,3943
140.112.30.188,20,0,5302,3944
140.112.30.189,20,0,3244,1189
140.112.30.190,20,0,3352,717
140.112.30.191,15,0,2131,2043
